"ID1","ID2","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD_0","DD5","DD_18","DD18","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD"
"JamesTown","blank",32.648806,-117.066664,400,15.3,19.8,11.9,7.9,262,17,96.3,1165.9,9,3760,1281,294,361,4,360,356,0,-4.5,36.9,986,724
"JamesTown","blank",33.148821,-117.066664,400,16.2,22.8,11.1,11.7,346,25,75.9,917.9,10,4113,1192,555,342,48,345,297,1,-10.1,42.8,1367,1023
"JamesTown","blank",33.648835,-117.566679,400,16.6,23.9,10.4,13.5,366,25,72.7,939.5,12,4247,1206,696,333,63,337,275,1,-11.4,44.3,1470,1117
"JamesTown","blank",33.648835,-117.066664,400,17.7,26.1,10.8,15.3,304,31,91.3,831.7,10,4660,1076,981,334,60,338,278,0,-11.4,46.7,1617,1313
"JamesTown","blank",34.14885,-118.566708,400,17.4,24.2,12,12.2,510,20,53.7,1234.3,8,4540,974,749,349,39,349,310,1,-6.9,45.5,1518,1107
"JamesTown","blank",34.14885,-118.066694,400,16.9,23.3,11.8,11.5,473,28,56.9,827.9,8,4353,1049,656,354,27,354,327,1,-6.5,42.8,1341,943
"JamesTown","blank",34.14885,-117.566679,400,17.1,24.6,10.9,13.8,603,36,44.8,677.4,10,4414,1125,773,350,37,351,314,1,-7.3,44.6,1449,1023
"JamesTown","blank",34.14885,-117.066664,400,17.6,27.1,9.5,17.6,600,52,46,519.2,14,4624,1201,1064,345,46,345,299,2,-9,46.4,1497,1061
"JamesTown","blank",34.648865,-120.566768,400,13.5,17,10.4,6.5,403,16,58.3,1089.1,14,3125,1751,119,336,63,336,273,1,-10.4,36.8,1118,768
"JamesTown","blank",34.648865,-120.066753,400,15.5,21.2,10.7,10.5,448,16,56.9,1313.2,12,3852,1321,421,336,62,338,276,1,-10.4,43.5,1400,1019
"JamesTown","blank",34.648865,-119.566738,400,14.5,22.4,6.9,15.5,635,19,38.5,1154.8,29,3527,1775,491,327,73,331,259,5,-12.7,43.8,1368,1031
